gameId,teamCity,teamName,gameType,season,astPct,astRatio,astTo,defRating,drebPct,eDefRating,eNetRating,eOffRating,ePace,efgPct,gameDate,home,matchup,netRating,offRating,opponentTeamCity,opponentTeamId,opponentTeamName,orebPct,pace,pacePer40,pie,poss,rebPct,teamAbbreviation,tmTovPct,tsPct,wl
0022400061,Boston,Celtics,Regular Season,2024-25,0.688,23.9,8.25,119.8,0.816,598.9,126.4,725.3,18.2,0.658,2024-10-22,1.0,BOS vs. NYK,25.3,145.1,New York,1610612752,Knicks,0.298,91.0,75.83,0.581,91.0,0.529,BOS,4.4,0.67,W
0022400061,New York,Knicks,Regular Season,2024-25,0.465,16.9,1.67,145.1,0.702,725.3,-126.4,598.9,18.2,0.622,2024-10-22,0.0,NYK @ BOS,-25.3,119.8,Boston,1610612738,Celtics,0.184,91.0,75.83,0.419,91.0,0.471,NYK,13.2,0.641,L
0022400062,Los Angeles,Lakers,Regular Season,2024-25,0.524,15.9,3.14,109.6,0.63,547.9,31.1,578.9,18.9,0.468,2024-10-22,1.0,LAL vs. MIN,6.2,115.8,Minnesota,1610612750,Timberwolves,0.375,94.5,78.75,0.575,95.0,0.5,LAL,7.4,0.519,W
0022400062,Minnesota,Timberwolves,Regular Season,2024-25,0.486,13.0,1.06,115.8,0.625,578.9,-31.1,547.9,18.9,0.488,2024-10-22,0.0,MIN @ LAL,-6.2,109.6,Los Angeles,1610612747,Lakers,0.37,94.5,78.75,0.425,94.0,0.5,MIN,17.0,0.532,L
0022400063,Indiana,Pacers,Regular Season,2024-25,0.762,22.2,2.13,110.1,0.679,550.5,18.8,569.3,20.0,0.56,2024-10-23,0.0,IND @ DET,3.8,113.9,Detroit,1610612765,Pistons,0.256,100.0,83.33,0.586,101.0,0.49,IND,14.9,0.612,W
0022400063,Detroit,Pistons,Regular Season,2024-25,0.579,15.9,1.57,113.9,0.744,569.3,-18.8,550.5,20.0,0.483,2024-10-23,1.0,DET vs. IND,-3.8,110.1,Indiana,1610612754,Pacers,0.321,100.0,83.33,0.414,99.0,0.51,DET,14.1,0.543,L
0022400064,Atlanta,Hawks,Regular Season,2024-25,0.641,17.4,1.56,110.5,0.679,552.4,19.0,571.4,21.0,0.544,2024-10-23,1.0,ATL vs. BKN,3.8,114.3,Brooklyn,1610612751,Nets,0.304,105.0,87.5,0.589,105.0,0.51,ATL,15.2,0.599,W
0022400064,Brooklyn,Nets,Regular Season,2024-25,0.525,14.7,1.11,114.3,0.696,571.4,-19.0,552.4,21.0,0.533,2024-10-23,0.0,BKN @ ATL,-3.8,110.5,Atlanta,1610612737,Hawks,0.321,105.0,87.5,0.411,105.0,0.49,BKN,18.1,0.569,L
0022400065,Miami,Heat,Regular Season,2024-25,0.75,18.3,2.18,118.4,0.61,591.8,-91.8,500.0,19.5,0.457,2024-10-23,1.0,MIA vs. ORL,-18.4,100.0,Orlando,1610612753,Magic,0.192,97.5,81.25,0.424,97.0,0.414,MIA,11.3,0.512,L
0022400065,Orlando,Magic,Regular Season,2024-25,0.683,18.8,2.0,100.0,0.808,500.0,91.8,591.8,19.5,0.521,2024-10-23,0.0,ORL @ MIA,18.4,118.4,Miami,1610612748,Heat,0.39,97.5,81.25,0.576,98.0,0.586,ORL,14.3,0.549,W
